3998.31069,-0.00319
3997.34631,-0.00297
3996.38194,-0.00293
3995.41756,-0.00319
3994.45318,-0.00361
3993.48880,-0.00367
3992.52442,-0.00346
3991.56005,-0.00346
3990.59567,-0.00372
3989.63129,-0.00404
3988.66691,-0.00376
3987.70253,-0.00355
3986.73816,-0.00373
3985.77378,-0.00354
3984.80940,-0.00363
3983.84502,-0.00406
3982.88065,-0.00389
3981.91627,-0.00349
3980.95189,-0.00380
3979.98751,-0.00404
3979.02313,-0.00355
3978.05876,-0.00329
3977.09438,-0.00357
3976.13000,-0.00390
3975.16562,-0.00391
3974.20124,-0.00358
3973.23687,-0.00349
3972.27249,-0.00393
3971.30811,-0.00419
3970.34373,-0.00408
3969.37935,-0.00410
3968.41498,-0.00384
3967.45060,-0.00322
3966.48622,-0.00301
3965.52184,-0.00316
3964.55747,-0.00324
3963.59309,-0.00349
3962.62871,-0.00378
3961.66433,-0.00368
3960.69995,-0.00370
3959.73558,-0.00381
3958.77120,-0.00380
3957.80682,-0.00360
3956.84244,-0.00334
3955.87806,-0.00346
3954.91369,-0.00335
3953.94931,-0.00330
3952.98493,-0.00344
3952.02055,-0.00342
3951.05618,-0.00340
3950.09180,-0.00321
3949.12742,-0.00323
3948.16304,-0.00338
3947.19866,-0.00371
3946.23429,-0.00397
3945.26991,-0.00377
3944.30553,-0.00380
3943.34115,-0.00367
3942.37677,-0.00351
3941.41240,-0.00370
3940.44802,-0.00402
3939.48364,-0.00433
3938.51926,-0.00396
3937.55488,-0.00356
3936.59051,-0.00341
3935.62613,-0.00329
3934.66175,-0.00331
3933.69737,-0.00304
3932.73300,-0.00313
3931.76862,-0.00350
3930.80424,-0.00357
3929.83986,-0.00353
3928.87548,-0.00346
3927.91111,-0.00373
3926.94673,-0.00372
3925.98235,-0.00329
3925.01797,-0.00327
3924.05359,-0.00354
3923.08922,-0.00364
3922.12484,-0.00359
3921.16046,-0.00379
3920.19608,-0.00406
3919.23171,-0.00412
3918.26733,-0.00384
3917.30295,-0.00343
3916.33857,-0.00356
3915.37419,-0.00359
3914.40982,-0.00358
3913.44544,-0.00407
3912.48106,-0.00424
3911.51668,-0.00393
3910.55230,-0.00369
3909.58793,-0.00381
3908.62355,-0.00367
3907.65917,-0.00319
3906.69479,-0.00323
3905.73041,-0.00344
3904.76604,-0.00359
3903.80166,-0.00381
3902.83728,-0.00376
3901.87290,-0.00340
3900.90853,-0.00325
3899.94415,-0.00330
3898.97977,-0.00308
3898.01539,-0.00307
3897.05101,-0.00340
3896.08664,-0.00379
3895.12226,-0.00410
3894.15788,-0.00383
3893.19350,-0.00337
3892.22912,-0.00333
3891.26475,-0.00362
3890.30037,-0.00369
3889.33599,-0.00345
3888.37161,-0.00340
3887.40724,-0.00339
3886.44286,-0.00329
3885.47848,-0.00340
3884.51410,-0.00345
3883.54972,-0.00334
3882.58535,-0.00362
3881.62097,-0.00371
3880.65659,-0.00331
3879.69221,-0.00326
3878.72783,-0.00330
3877.76346,-0.00343
3876.79908,-0.00355
3875.83470,-0.00341
3874.87032,-0.00357
3873.90594,-0.00365
3872.94157,-0.00355
3871.97719,-0.00358
3871.01281,-0.00346
3870.04843,-0.00329
3869.08406,-0.00319
3868.11968,-0.00300
3867.15530,-0.00299
3866.19092,-0.00326
3865.22654,-0.00334
3864.26217,-0.00317
3863.29779,-0.00317
3862.33341,-0.00337
3861.36903,-0.00352
3860.40465,-0.00364
3859.44028,-0.00364
3858.47590,-0.00340
3857.51152,-0.00302
3856.54714,-0.00285
3855.58276,-0.00337
3854.61839,-0.00358
3853.65401,-0.00317
3852.68963,-0.00306
3851.72525,-0.00290
3850.76088,-0.00301
3849.79650,-0.00317
3848.83212,-0.00325
3847.86774,-0.00341
3846.90336,-0.00336
3845.93899,-0.00360
3844.97461,-0.00357
3844.01023,-0.00339
3843.04585,-0.00326
3842.08147,-0.00269
3841.11710,-0.00274
3840.15272,-0.00297
3839.18834,-0.00307
3838.22396,-0.00331
3837.25959,-0.00313
3836.29521,-0.00304
3835.33083,-0.00319
3834.36645,-0.00325
3833.40207,-0.00321
3832.43770,-0.00321
3831.47332,-0.00317
3830.50894,-0.00317
3829.54456,-0.00344
3828.58018,-0.00333
3827.61581,-0.00306
3826.65143,-0.00328
3825.68705,-0.00359
3824.72267,-0.00371
3823.75829,-0.00347
3822.79392,-0.00333
3821.82954,-0.00350
3820.86516,-0.00313
3819.90078,-0.00281
3818.93641,-0.00304
3817.97203,-0.00312
3817.00765,-0.00306
3816.04327,-0.00317
3815.07889,-0.00351
3814.11452,-0.00347
3813.15014,-0.00325
3812.18576,-0.00349
3811.22138,-0.00335
3810.25700,-0.00303
3809.29263,-0.00302
3808.32825,-0.00306
3807.36387,-0.00318
3806.39949,-0.00293
3805.43512,-0.00265
3804.47074,-0.00287
3803.50636,-0.00323
3802.54198,-0.00319
3801.57760,-0.00280
3800.61323,-0.00289
3799.64885,-0.00332
3798.68447,-0.00351
3797.72009,-0.00347
3796.75571,-0.00337
3795.79134,-0.00340
3794.82696,-0.00338
3793.86258,-0.00308
3792.89820,-0.00264
3791.93382,-0.00264
3790.96945,-0.00302
3790.00507,-0.00301
3789.04069,-0.00296
3788.07631,-0.00330
3787.11194,-0.00337
3786.14756,-0.00314
3785.18318,-0.00294
3784.21880,-0.00304
3783.25442,-0.00342
3782.29005,-0.00328
3781.32567,-0.00277
3780.36129,-0.00256
3779.39691,-0.00243
3778.43253,-0.00248
