;$I_{874}$;$I_{1084}$;$I_{1182}$;$I_{1241}$;$I_{1393}$;$I_{1541}$;$I_{1625}$;$I_{1725}$;$\overline{I}_{1900\text{–}800}$;$\Sigma I_{p,\ 1900\text{–}800}$;$\overline{I}_{1900\text{–}1500}$;$\Sigma I_{p,\ 1900\text{–}1500}$;$\overline{I}_{1500\text{–}1300}$;$\Sigma I_{p,\ 1500\text{–}1300}$;$\overline{I}_{1300\text{–}800}$;$\Sigma I_{p,\ 1300\text{–}800}$;$\overline{I}_{874 \pm 16}$;$\overline{I}_{874 \pm 32}$;$\overline{I}_{1084 \pm 16}$;$\overline{I}_{1084 \pm 32}$;$\overline{I}_{1182 \pm 16}$;$\overline{I}_{1182 \pm 32}$;$\overline{I}_{1241 \pm 16}$;$\overline{I}_{1241 \pm 32}$;$\overline{I}_{1393 \pm 16}$;$\overline{I}_{1393 \pm 32}$;$\overline{I}_{1541 \pm 16}$;$\overline{I}_{1541 \pm 32}$;$\overline{I}_{1625 \pm 16}$;$\overline{I}_{1625 \pm 32}$;$\overline{I}_{1725 \pm 16}$;$\overline{I}_{1725 \pm 32}$;Split;Fraction_hue;Fraction_grouped_hue;Class
division_4_size_2;0.765235522962745;0.9999999999999998;0.8615863583923471;0.7954736136876213;0.9610230283098996;0.6640468928878527;0.7316779826730581;0.4001679548214751;0.6781337239505001;6.179211353734997;0.4079830083855227;1.795892830382386;0.811955255035229;0.9610230283098996;0.8407762866189538;3.4222954950427127;0.7658204207066318;0.7693258721045328;0.995398924691104;0.9881008846843855;0.859909123558332;0.8594363163413042;0.7951866589459637;0.7936079603432037;0.9500817389636509;0.9351651887673231;0.6592927934976673;0.6529991837136067;0.7277292051091534;0.7173888724001075;0.397505087992558;0.393590375495452;Test;$< 2$;$d \leq 2$;0
division_4_size_0.4;0.478304195947419;0.9274275470808808;0.6731143611462005;0.5774405004974978;1.0;0.8676248932409192;0.9891239379831318;0.3914555690600374;0.6110539170937853;5.904491004956087;0.49749826098779715;2.2482044002840884;0.8033360053800324;1.0;0.6251641386905705;2.6562866046719984;0.4780778870322671;0.4793113351665135;0.8624279369243406;0.8528492466763427;0.6749678781801498;0.6825776854102619;0.5812140112901757;0.5868861730047591;0.9875826860270953;0.9630220839964587;0.8331506637907214;0.8101046160923518;0.8917909779465318;0.8938926927090628;0.3961871733271389;0.4157606512032417;Train;$< 0.4$;$d \leq 2$;0
division_4_size_0.2;0.7599045567006015;1.0000000000000002;0.7627481955214768;0.6675068076411994;0.8428211496673174;0.6141874362762623;0.7125451186983971;0.3856533903314978;0.6230602597740618;5.745366654836753;0.3538348165388949;1.7123859453061572;0.6949304103487083;0.8428211496673174;0.8096718932492866;3.190159559863278;0.7565387301272211;0.7579711654536696;0.9925295644465034;0.9847374964011324;0.7606357712086761;0.760862155530652;0.6681240159099762;0.6716986054086173;0.7813247676412014;0.7747037370481507;0.5913725816771543;0.5549126865016314;0.42804255477787384;0.45059732094281274;0.39277554081311733;0.40757015274650943;Train;$< 0.2$;$d \leq 2$;0
division_5_size_bulk;0.0726504847815484;0.957655628388881;0.827654254045874;1.0000000000000002;0.675038515530533;0.2943663204151698;0.6031443415863216;0.4751575954398507;0.46149083699403054;4.905667140188179;0.2606506491348889;1.372668257441342;0.5317770501744662;0.675038515530533;0.5940523626841928;2.857960367216304;0.0747257406224311;0.08038641087129134;0.9202139038147564;0.901636866572019;0.8302520544744232;0.8357378667954998;0.9926056153697056;0.9718160593598106;0.6684705943487266;0.6550782444086115;0.2956584445137819;0.3020396916213129;0.39951017055758864;0.40020201322099963;0.4532705973558961;0.4177537568269761;Train;$> 0$;$d > 5$;2
division_5_size_75;0.1918615845281044;0.8560537471192781;0.8629981801951933;1.0;0.5634359632609615;0.2925521187150261;0.5485687706080302;0.4155987516893155;0.44768757756596206;4.731069116115909;0.23641026165771714;1.256719641012372;0.47619069750880705;0.5634359632609615;0.6052597168217484;2.9109135118425757;0.1924623901983135;0.1936279292984709;0.8313561379484092;0.818545028759783;0.8636088090674368;0.8638277700266668;0.9938128215076103;0.9767662824616727;0.5592646504833948;0.5516156503684313;0.2938221263247516;0.29895557631129754;0.3372694866962267;0.3427988598626729;0.399646055580859;0.3698367361891812;Train;$< 75$;$d > 5$;2
division_5_size_25;0.0871168759732992;0.8403681159877187;0.8665701347600345;1.0;0.6131187198320942;0.2960637293309013;0.5604201632369891;0.4633113887675631;0.4376430441539157;4.726969127888601;0.25615535618054175;1.3197952813354534;0.5038364406932613;0.6131187198320942;0.556362422622712;2.7940551267210525;0.08770570402180387;0.088794196611066;0.8239116754291359;0.8087036370607953;0.8674052897454642;0.8681396409240647;0.9927329165964238;0.9736196342943888;0.6088034352119106;0.6000274671361959;0.2968408433655712;0.3014798203117883;0.3843060443562144;0.387086364570359;0.4471690623186808;0.4150177017765659;Train;$< 25$;$d > 5$;2
division_5_size_5;0.5298080418364761;0.9702402963849288;1.0;0.7906867745483972;0.3823250589762166;0.3478911395919483;0.4910999732544579;0.306793039113339;0.4661258991651382;4.818844323705764;0.22744808640506822;1.1457841519597451;0.3612122432160134;0.3823250589762166;0.6988203482535729;3.290735112769802;0.50999638012322;0.49587212619228216;0.8786819535255094;0.8801320003518993;0.9896766078886498;0.9707199129960593;0.7877541941838694;0.7819023251693403;0.3532995026960508;0.35889578946912115;0.3337116592175145;0.31275259216473855;0.38578964244851843;0.3748326801285102;0.303748540124661;0.2989492780429538;Train;$< 5$;$2 < d \leq 5$;1
division_5_size_3;0.3679448804217115;0.839174633612314;0.9777808431931524;0.5555989189376742;0.2755245016413607;0.1241446809534023;0.1389004886949641;0.3216507563685422;0.35273714855113925;3.6007197038231213;0.1254334237411093;0.5846959260169086;0.2529444787753666;0.2755245016413607;0.5742942361036388;2.740499276164852;0.35761462288855056;0.3511035666314005;0.8369467169205741;0.8323002920530936;0.9706931342170054;0.9508801247634471;0.556437600620354;0.5633953915626687;0.2751806484826088;0.2778045820077792;0.11868246520968248;0.1079566298938303;0.13772205640251214;0.13485910886672475;0.3099514204687553;0.2884819046435765;Test;$< 3$;$2 < d \leq 5$;1
division_6_size_bulk;0.1119444244261917;0.6548405768661977;0.4805191051171195;0.5565852392956573;0.8559540228704665;0.1126456800782971;1.0;0.4520503655395457;0.4148937310414515;4.224539414193475;0.3547339160493379;1.564696045617843;0.5993784269476957;0.8559540228704665;0.3894177988047173;1.8038893457051661;0.11207257286959466;0.11309901349265856;0.6339791842121082;0.6180856580728816;0.48506728451240505;0.4970627624228501;0.5549724836365215;0.5500512663821842;0.8347093953109536;0.8075566566523216;0.11841074675928795;0.1398530847801014;0.9523728345248653;0.8780057283462489;0.4385705161540001;0.4292405413316769;Train;$> 0$;$d > 5$;2
division_6_size_75;0.091846436868067;0.6090580685071324;0.4644515693229886;0.5485806052952732;0.8412732871825808;0.1143599411136458;1.0000000000000002;0.4674239516108133;0.3998634871122361;4.136993859900501;0.35651596719045786;1.5817838927244594;0.5866403196625783;0.8412732871825808;0.36002999275697056;1.7139366799934614;0.09156210791947385;0.09172299966122709;0.5835816704608522;0.567096202590008;0.4688821450079746;0.4799566913921436;0.5470165750702071;0.5422481572649722;0.8197161270418851;0.7928468658665687;0.11914140715136791;0.13885402594073748;0.9500438003227123;0.8756746982703215;0.454618068151856;0.4431599725657852;Train;$< 75$;$d > 5$;2
division_6_size_25;0.1768021163397278;0.7144320288375328;0.5188955778942611;0.6042998488254994;0.8659601353297083;0.1562876452833477;1.0;0.4704009333325432;0.45485109886363295;4.507078285842621;0.37132381186821956;1.626688578615891;0.6251455685774556;0.8659601353297083;0.4537198250145664;2.014429571897021;0.17837647465885337;0.18036334948571872;0.701207716828254;0.6854540115926302;0.5234984560099166;0.5360063875289099;0.602015000922047;0.5956152561362459;0.845432061499605;0.8205984519184126;0.16191196843025746;0.18308258208680436;0.956090742060165;0.8860674556997888;0.46038694030758226;0.45040549413522823;Test;$< 25$;$d > 5$;2
division_6_size_5;0.364356906064838;0.7612010295041215;0.5923488950292529;0.6357449867886259;0.858811683479435;0.2985540403185976;1.0;0.4016904549204572;0.5094757619635415;4.912707996105328;0.38801791810489084;1.7002444952390547;0.6521928795611304;0.858811683479435;0.5496733763347161;2.3536518173868384;0.3643863038613428;0.36521992704380224;0.7452751442147763;0.7333458334489898;0.595433517759632;0.6059163775966164;0.6336297811606805;0.6287870485920385;0.842379176833588;0.8208734129492334;0.30304958893532474;0.3188380124984801;0.9595323551942186;0.8998730616002625;0.4009794956423519;0.4005581928473153;Train;$< 5$;$2 < d \leq 5$;1
division_6_size_3;0.3379749270511582;0.7729778849601283;0.496441098967692;0.5382771659993548;0.6719123596619001;0.6608745673212646;0.8905730544121013;0.213489157075919;0.48597879088909623;4.582520215449518;0.4053742016296971;1.764936778809285;0.5530923124274136;0.6719123596619001;0.5236635800687109;2.145671076978333;0.33923671797739496;0.3433635875029149;0.7600760247872523;0.7513177500347871;0.4998975945363143;0.5115384582553892;0.5289401050954279;0.5213725581046226;0.6627155806324608;0.6493306656336939;0.6507523055184;0.6282132908108309;0.8817050018106519;0.857709761260617;0.22549318738667684;0.2601834828793006;Test;$< 3$;$2 < d \leq 5$;1
division_7_size_bulk;0.1139469037601154;0.7639560601221728;0.8815514224303309;1.0;0.4860076940556139;0.3123635869674152;0.5763815768734395;0.4065323879655625;0.4106170126574869;4.54073963217465;0.2399162172347987;1.2952775518064172;0.4291603849097275;0.4860076940556139;0.5397159568659685;2.759454386312619;0.1124018446530839;0.1083823383528555;0.7385572683035097;0.7315855780164203;0.8808283309025156;0.8773574548684607;0.9938503701157362;0.9792947879596363;0.4819640562814488;0.4767983944539212;0.3128538422362989;0.31704436818457676;0.3423305717879878;0.3491939926651071;0.39047194010766223;0.36214173785645426;Train;$> 0$;$d > 5$;2
