;division_1_size_0.2;division_1_size_0.4;division_1_size_2;division_1_size_2.5;division_1_size_3;division_1_size_5;division_1_size_bulk;division_2_size_0.2;division_2_size_0.4;division_2_size_2;division_2_size_2.5;division_2_size_3;division_2_size_5;division_2_size_bulk;division_5_size_25;division_5_size_3;division_5_size_5;division_5_size_75;division_5_size_bulk;division_6_size_25;division_6_size_3;division_6_size_5;division_6_size_75;division_6_size_bulk;division_7_size_0.4;division_7_size_2;division_7_size_2.5;division_7_size_25;division_7_size_3;division_7_size_5;division_7_size_75;division_7_size_bulk;division_8_size_0.2;division_8_size_0.4;division_8_size_2;division_8_size_2.5;division_8_size_25;division_8_size_3;division_8_size_5;division_8_size_70;division_8_size_bulk;division_9_size_0.2;division_9_size_0.4;division_9_size_2;division_9_size_2.5;division_9_size_25;division_9_size_3;division_9_size_5;division_9_size_70;division_9_size_bulk
1871.85747;0.01728449865916471;0.021826833086372028;0.0014304668298002199;0.002924094793356924;0.0009133681343221484;0.001111726207263658;0.004232217625071061;0.003148514623238799;0.002489308195636808;0.04414350712754027;0.01715138982675602;0.0008306004898384206;0.00024145082758085523;0.00108380239151952;0.006958329945399973;0.07939575854404252;0.03979111691869969;0.009246433636858828;0.0004139166635537539;0.003853878213211537;0.002249945195594849;0.0040358858333557485;0.004648643185759499;0.005053528237595639;0.003812692161017539;0.01292570513616545;0.007628493102918216;0.0027212413349281678;0.005719075877441471;0.041308172508883134;0.0028028386764391705;0.0032975928092038725;0.03433903770309826;0.046068349185008156;0.03213098703521462;0.035081411234570176;0.0027961628655250176;0.04443395149102855;0.036604174146506796;0.004095398350388524;0.003241725443804612;0.0007185767266958687;0.002964996388654814;0.0009596640061651507;0.004440597913723032;0.004623707159643921;0.00098471440712114;0.0020836212838194756;0.0020158119615290085;0.0002939604174168643
1870.89309;0.019276410592389513;0.023543213946546442;0.000791240765426332;0.0018157445313898013;0.0010589489557753379;0.0006916756731483453;0.004935021003938167;0.0024051995691812197;0.0015163537293179652;0.04580314074955405;0.017495540462038453;0.0003330109961605654;0.00015982634550268382;0.001238005617683835;0.0076991132979650975;0.07889538576075794;0.03847272175983146;0.009276318187987624;0.000660046483916002;0.0051961310480055645;0.004147770607144663;0.0049670979891503625;0.006270126600373294;0.006366229493683817;0.005215963563880932;0.013912753266473427;0.009216078842141345;0.0031708026364265715;0.0048590482953467795;0.04230623650713594;0.0032253433529089576;0.0037729081047682966;0.033942553029207234;0.04658383165939378;0.031624559838934654;0.03454704519265975;0.00297351873370362;0.044680252781101465;0.03627753144893364;0.004082575566268981;0.003311917321805101;0.0013853594064869232;0.002792634013458195;0.0008733223138388882;0.004322691497251674;0.0047663962367318485;0.0008569623533674631;0.001843235175011837;0.0021666714330397033;0.00029247747726178497
1869.92871;0.021341525489333844;0.025364668426259878;0.0004980950384849692;0.0009685450320884026;0.0012271140469036212;0.00035957541234360457;0.005813484356490484;0.0015303694832629125;0.0005862817879705856;0.047500825384525575;0.018143141401750343;2.3791375241957735e-05;8.776535448110079e-05;0.0014070716533596678;0.008326032188503842;0.07787341752052268;0.03688322798220184;0.009230350600443485;0.0009411371693606313;0.006841485446951928;0.00629131781636294;0.006020740581139536;0.008019140388165563;0.007833619899786787;0.006575942124028178;0.014987478889041173;0.01158810641011604;0.003703896215136976;0.00460964125935448;0.043723830444232836;0.0036863777677037107;0.004350299388834189;0.0339074813873349;0.04732514840691665;0.03096968532257631;0.03398084448842806;0.003009120788071154;0.04445484100892658;0.03581678579549191;0.0038797001371398687;0.0032385016315518364;0.002117922116715784;0.002595006393855473;0.0008067587001145057;0.00426208159465552;0.0048989696950394596;0.0007039770639761661;0.0016515941057924366;0.0022930056244008026;0.00031350003537492996
1868.96433;0.02340934976792891;0.027220518966926757;0.0004395827715112377;0.00043195410440335924;0.0014346440797008558;0.00013485988000744298;0.006892442152625147;0.0007603893992562533;2.3235410737010298e-05;0.049440748618442706;0.019289695278862776;0.0;2.575257175697898e-05;0.0016009758480546449;0.008885321990934052;0.07643641099014836;0.034921578578805845;0.009198551591480857;0.0012565428598631107;0.008632122518569763;0.00905931913217578;0.007184833609941821;0.009775777323571072;0.009522694842206025;0.007676727856645249;0.016161563298552867;0.013996924060458021;0.0043115179557357;0.0045810115492221914;0.04523889524730074;0.004165739563439061;0.004979355809136415;0.03419602429667257;0.04819566499498376;0.030249994332503458;0.03362267177996023;0.0029501582938890186;0.04380725646021258;0.0353767227170485;0.003577324722562336;0.003107189267269869;0.00261678716401325;0.002413717317343078;0.0007246155950000749;0.0042347109006805606;0.004973838693025798;0.0005207001392427274;0.001429078481437085;0.002348673879325948;0.0003136161261582948
1867.99995;0.025347137957538256;0.02911795889465282;0.00030957234609579887;0.00011534819570632737;0.0016832909190542533;2.0808552136569736e-05;0.00808861831445172;0.00022797493677727265;0.0;0.05159415184614462;0.02091625294400836;0.00016709592909572302;0.0;0.0018328727334898098;0.009508422165520426;0.07538509440344782;0.03303409713120303;0.009373029555506007;0.0016416433637721495;0.010534656620919958;0.01263850400457095;0.008416915484871626;0.011570849923767723;0.011463187208575976;0.008296599781853986;0.01726399616882074;0.015444981833594051;0.004928633340453528;0.004265954146858042;0.046259124659066786;0.00462458439632496;0.005589550962904644;0.034891862995833245;0.049212247928842684;0.02947113561849156;0.03339109797670112;0.002807466658759611;0.04288626840646567;0.03504646115517496;0.0032552383744802738;0.0029108304204311236;0.002632674200317653;0.0022457767621312102;0.0006224738555768577;0.004206960763760675;0.004957130622989719;0.0003223404630649934;0.0011340734720771128;0.0023445157257957344;0.00023181945458870465
1867.03558;0.02715292586472564;0.031137351589212648;6.019428970177598e-05;0.0;0.0020186308116776353;0.0;0.00935586014010198;0.0;0.0005096788946984121;0.05384942774527933;0.022911213903075794;0.0005244759470609262;5.887942077267838e-05;0.0021113318137004206;0.010182353153119127;0.07517770485692432;0.03189566263666416;0.009798047067180293;0.0021222365538891494;0.012438750527755227;0.016373466541867943;0.009507319962060834;0.013395059004748383;0.013444184528863756;0.008342888901716194;0.018149688450576074;0.016050274326978836;0.005546675181033002;0.0035117952563303856;0.04649253950029919;0.0050508230055013315;0.006156714649938486;0.036046485331683364;0.05029842480472435;0.02869463410430438;0.03283103758142317;0.002516585861711801;0.04164304895807189;0.03452539866076723;0.002829677245800216;0.002583774695808269;0.0023270762017397473;0.0020976136771961446;0.0005123377906268087;0.004246367815317703;0.004888811746488163;0.00016855459066814071;0.0008281483489549768;0.0023597588801250527;0.00011127348473421311
1866.0712;0.029138061669303134;0.033454902047274845;0.0;0.00043621305289756607;0.002535037258349998;9.046188930969534e-05;0.010763167261962137;0.0001464064119127209;0.0014751003587229056;0.05627924473992475;0.025145714209983065;0.0011982764436467702;0.0002815866510982312;0.0024460377439905756;0.010787732686455533;0.07509628067262436;0.031328090771787886;0.010320260101958238;0.0026227663542201032;0.014286718308459567;0.019998171828050915;0.010317499037225564;0.015252439938660017;0.015367972931323332;0.008158291195109024;0.019179586896030776;0.016959725143202597;0.006256975051907705;0.002976027838658468;0.04675836049251836;0.00551483359107445;0.006735084360372193;0.03758763585763897;0.051375655830353945;0.028015736015278722;0.031804028645762455;0.002114935867561271;0.04013939729461605;0.033772996122179405;0.0023573671836260857;0.002191506762307005;0.0019486274149410204;0.0020312088855946875;0.00041665291755502154;0.004395718648825875;0.004791689299875536;0.00012785267294233849;0.0005909054720584506;0.0024324186275225673;1.981168394777147e-05
1865.10682;0.031364125089207974;0.03606864299808023;9.311514771587204e-05;0.0011754049593538651;0.003206301267554987;0.00026021944612966696;0.01231581098873763;0.0005418682120500173;0.0027889662007652694;0.05893457964333844;0.02754919757646345;0.002216552443114264;0.0006829524330150827;0.0028335688724157593;0.011277372637894252;0.07476688508164331;0.031161552339900256;0.010859731368354539;0.003117593206054134;0.01595976805723337;0.023054005131180777;0.010874317857980376;0.01710464614618279;0.017145920732639458;0.007954283535896944;0.02054257604177187;0.01825241792700813;0.00709814329908242;0.00316883863740669;0.04756573431633132;0.006069555900048387;0.0073409207699813295;0.03943680726456561;0.05237612701470293;0.027474398320603485;0.030584681247994877;0.0017119659166501544;0.03860205893527954;0.03302790058638436;0.0019739202693891678;0.0018252064097601037;0.001693428820604824;0.0020680135900729008;0.0003474324010976568;0.0046801566992740185;0.004713550109158603;0.0002076398500679838;0.00044802024528256545;0.0025562032546553523;0.0
1864.14244;0.033785999489817885;0.038897785514365874;0.00042158606940403964;0.0018807784798151317;0.00403616412949051;0.0004821020563705314;0.01398775163701746;0.001187687858168425;0.004343280194846533;0.06179901782836157;0.030130284905599554;0.003513648998024116;0.0012111162244136525;0.003267669089371969;0.011755978321226705;0.07431020075816624;0.03129048229177267;0.011451017188786834;0.0036247453596448126;0.01745053002703853;0.025244882832651083;0.011295504723541239;0.01890875638722997;0.018773977575412992;0.0076349940010130846;0.021890701781284327;0.019224657103583648;0.008006455306673883;0.003566860490766155;0.04875246447021492;0.006721107863237083;0.007970890873430572;0.041243537209357695;0.053149288421070834;0.027006186142326208;0.02946623753444913;0.0013579181841625598;0.03706359570933085;0.03233410454367433;0.0016571761343091018;0.0015388207583913252;0.001702430588398321;0.002156772565585524;0.00029417745609029017;0.005018256583535052;0.004698210227111442;0.00037816083021637026;0.0004199037517469695;0.002704603789755594;4.3248331096191334e-05
1863.17806;0.036427278409742164;0.04191244893428808;0.0011677197461228972;0.0026781396968403037;0.005062260664421836;0.0007598104009813034;0.015734569715604454;0.0020867794127229083;0.005946549785180985;0.06474525013629367;0.03269805950171832;0.004905622445363564;0.0018254860170268256;0.003741424639365609;0.012168663413917417;0.07314393052242324;0.03142283902492626;0.012030627152828544;0.004088871034317654;0.018788523642916943;0.026393739972430996;0.0115771821227372;0.020629954295926983;0.02031311324848592;0.007267096537549367;0.022906214915967366;0.019491035752729563;0.008881784832930804;0.003430499760870509;0.05002285850250837;0.0074656942175684304;0.008618822084865682;0.0425939466956165;0.05358843483933143;0.02667147508257707;0.02844699260841918;0.0010466674669466491;0.035649179208433995;0.031693592422900235;0.0014761836728297006;0.0013680041512511495;0.001983104336456598;0.002271874231866561;0.00026745771528947915;0.005330080999213588;0.00477968525393975;0.0006036755779798286;0.000584616106910324;0.0028690204180634657;0.0001609214083727467
